No.,Date,Time,Header,Data,Unit
1,2016-07-26,18:05:15,ST,+00000.80,  g
2,2016-07-26,18:06:15,ST,+00001.15,  g
3,2016-07-26,18:07:15,ST,+00001.49,  g
4,2016-07-26,18:08:15,ST,+00001.83,  g
5,2016-07-26,18:09:15,ST,+00002.25,  g
6,2016-07-26,18:10:15,ST,+00002.60,  g
7,2016-07-26,18:11:15,ST,+00003.02,  g
8,2016-07-26,18:12:15,ST,+00003.36,  g
9,2016-07-26,18:13:15,ST,+00003.79,  g
10,2016-07-26,18:14:15,ST,+00004.22,  g
11,2016-07-26,18:15:15,ST,+00004.56,  g
12,2016-07-26,18:16:15,ST,+00004.99,  g
13,2016-07-26,18:17:15,ST,+00005.42,  g
14,2016-07-26,18:18:15,ST,+00005.85,  g
15,2016-07-26,18:19:15,US,+00006.22,  g
16,2016-07-26,18:20:15,ST,+00006.63,  g
17,2016-07-26,18:21:15,ST,+00007.06,  g
18,2016-07-26,18:22:15,ST,+00007.49,  g
19,2016-07-26,18:23:15,ST,+00007.92,  g
20,2016-07-26,18:24:15,ST,+00008.35,  g
21,2016-07-26,18:25:15,ST,+00008.70,  g
22,2016-07-26,18:26:15,ST,+00009.13,  g
23,2016-07-26,18:27:15,ST,+00009.56,  g
24,2016-07-26,18:28:15,ST,+00009.99,  g
25,2016-07-26,18:29:15,ST,+00010.42,  g
26,2016-07-26,18:30:15,ST,+00010.85,  g
27,2016-07-26,18:31:15,ST,+00011.28,  g
28,2016-07-26,18:32:15,ST,+00011.71,  g
29,2016-07-26,18:33:15,ST,+00012.15,  g
30,2016-07-26,18:34:15,ST,+00012.58,  g
31,2016-07-26,18:35:15,US,+00013.06,  g
32,2016-07-26,18:36:15,ST,+00013.53,  g
33,2016-07-26,18:37:15,ST,+00013.96,  g
34,2016-07-26,18:38:15,ST,+00014.39,  g
35,2016-07-26,18:39:15,ST,+00014.82,  g
36,2016-07-26,18:40:15,ST,+00015.25,  g
37,2016-07-26,18:41:15,ST,+00015.69,  g
38,2016-07-26,18:42:15,ST,+00016.12,  g
39,2016-07-26,18:43:15,ST,+00016.63,  g
40,2016-07-26,18:44:15,ST,+00017.06,  g
41,2016-07-26,18:45:15,ST,+00017.50,  g
42,2016-07-26,18:46:15,ST,+00017.93,  g
43,2016-07-26,18:47:15,ST,+00018.36,  g
44,2016-07-26,18:48:15,ST,+00018.79,  g
45,2016-07-26,18:49:15,ST,+00019.31,  g
46,2016-07-26,18:50:15,ST,+00019.74,  g
47,2016-07-26,18:51:15,ST,+00020.17,  g
48,2016-07-26,18:52:15,ST,+00020.61,  g
49,2016-07-26,18:53:15,ST,+00021.12,  g
50,2016-07-26,18:54:15,ST,+00021.55,  g
51,2016-07-26,18:55:15,ST,+00021.99,  g
52,2016-07-26,18:56:15,ST,+00022.42,  g
53,2016-07-26,18:57:15,ST,+00022.93,  g
54,2016-07-26,18:58:15,ST,+00023.37,  g
55,2016-07-26,18:59:15,ST,+00023.80,  g
56,2016-07-26,19:00:15,ST,+00024.32,  g
57,2016-07-26,19:01:15,ST,+00024.75,  g
58,2016-07-26,19:02:15,ST,+00025.18,  g
59,2016-07-26,19:03:15,ST,+00025.70,  g
60,2016-07-26,19:04:15,ST,+00026.13,  g
61,2016-07-26,19:05:15,ST,+00026.57,  g
62,2016-07-26,19:06:15,ST,+00027.08,  g
63,2016-07-26,19:07:15,ST,+00027.51,  g
64,2016-07-26,19:08:15,ST,+00028.03,  g
65,2016-07-26,19:09:15,ST,+00028.46,  g
66,2016-07-26,19:10:15,ST,+00028.89,  g
67,2016-07-26,19:11:15,ST,+00029.41,  g
68,2016-07-26,19:12:15,ST,+00029.84,  g
69,2016-07-26,19:13:15,ST,+00030.36,  g
70,2016-07-26,19:14:15,ST,+00030.79,  g
71,2016-07-26,19:15:15,US,+00031.31,  g
72,2016-07-26,19:16:15,ST,+00031.74,  g
73,2016-07-26,19:17:15,ST,+00032.17,  g
74,2016-07-26,19:18:15,ST,+00032.69,  g
75,2016-07-26,19:19:15,ST,+00033.12,  g
76,2016-07-26,19:20:15,ST,+00033.64,  g
77,2016-07-26,19:21:15,ST,+00034.07,  g
78,2016-07-26,19:22:15,ST,+00034.59,  g
79,2016-07-26,19:23:15,ST,+00035.02,  g
80,2016-07-26,19:24:15,ST,+00035.54,  g
81,2016-07-26,19:25:15,ST,+00035.97,  g
82,2016-07-26,19:26:15,ST,+00036.49,  g
83,2016-07-26,19:27:15,ST,+00036.92,  g
84,2016-07-26,19:28:15,ST,+00037.44,  g
85,2016-07-26,19:29:15,ST,+00037.87,  g
86,2016-07-26,19:30:15,ST,+00038.39,  g
87,2016-07-26,19:31:15,US,+00038.91,  g
88,2016-07-26,19:32:15,ST,+00039.34,  g
89,2016-07-26,19:33:15,ST,+00039.85,  g
90,2016-07-26,19:34:15,ST,+00040.28,  g
91,2016-07-26,19:35:15,ST,+00040.80,  g
92,2016-07-26,19:36:15,ST,+00041.23,  g
93,2016-07-26,19:37:15,ST,+00041.75,  g
94,2016-07-26,19:38:15,US,+00042.23,  g
95,2016-07-26,19:39:15,ST,+00042.70,  g
96,2016-07-26,19:40:15,ST,+00043.22,  g
97,2016-07-26,19:41:15,ST,+00043.65,  g
98,2016-07-26,19:42:15,ST,+00044.16,  g
99,2016-07-26,19:43:15,ST,+00044.60,  g
100,2016-07-26,19:44:15,ST,+00045.11,  g
101,2016-07-26,19:45:15,ST,+00045.63,  g
102,2016-07-26,19:46:15,ST,+00046.06,  g
103,2016-07-26,19:47:15,ST,+00046.58,  g
104,2016-07-26,19:48:15,US,+00047.10,  g
105,2016-07-26,19:49:15,ST,+00047.52,  g
106,2016-07-26,19:50:15,ST,+00048.04,  g
107,2016-07-26,19:51:15,US,+00048.55,  g
108,2016-07-26,19:52:15,ST,+00048.99,  g
109,2016-07-26,19:53:15,ST,+00049.50,  g
110,2016-07-26,19:54:15,US,+00049.95,  g
111,2016-07-26,19:55:15,ST,+00050.45,  g
112,2016-07-26,19:56:15,ST,+00050.97,  g
113,2016-07-26,19:57:15,US,+00051.43,  g
114,2016-07-26,19:58:15,ST,+00051.91,  g
115,2016-07-26,19:59:15,ST,+00052.43,  g
116,2016-07-26,20:00:15,US,+00052.94,  g
117,2016-07-26,20:01:15,ST,+00053.37,  g
118,2016-07-26,20:02:15,ST,+00053.89,  g
119,2016-07-26,20:03:15,ST,+00054.41,  g
120,2016-07-26,20:04:15,ST,+00054.84,  g
121,2016-07-26,20:05:15,ST,+00055.35,  g
122,2016-07-26,20:06:15,ST,+00055.87,  g
123,2016-07-26,20:07:15,ST,+00056.30,  g
124,2016-07-26,20:08:15,ST,+00056.82,  g
125,2016-07-26,20:09:15,ST,+00057.34,  g
126,2016-07-26,20:10:15,ST,+00057.86,  g
127,2016-07-26,20:11:15,ST,+00058.29,  g
128,2016-07-26,20:12:15,ST,+00058.80,  g
129,2016-07-26,20:13:15,ST,+00059.32,  g
130,2016-07-26,20:14:15,ST,+00059.75,  g
131,2016-07-26,20:15:15,ST,+00060.27,  g
132,2016-07-26,20:16:15,ST,+00060.79,  g
133,2016-07-26,20:17:15,ST,+00061.30,  g
134,2016-07-26,20:18:15,ST,+00061.75,  g
135,2016-07-26,20:19:15,ST,+00062.25,  g
136,2016-07-26,20:20:15,ST,+00062.77,  g
137,2016-07-26,20:21:15,ST,+00063.29,  g
138,2016-07-26,20:22:15,US,+00063.77,  g
139,2016-07-26,20:23:15,ST,+00064.24,  g
140,2016-07-26,20:24:15,ST,+00064.76,  g
141,2016-07-26,20:25:15,ST,+00065.27,  g
142,2016-07-26,20:26:15,US,+00065.79,  g
143,2016-07-26,20:27:15,ST,+00066.22,  g
144,2016-07-26,20:28:15,ST,+00066.74,  g
145,2016-07-26,20:29:15,ST,+00067.26,  g
146,2016-07-26,20:30:15,ST,+00067.78,  g
147,2016-07-26,20:31:15,ST,+00068.21,  g
148,2016-07-26,20:32:15,ST,+00068.72,  g
149,2016-07-26,20:33:15,ST,+00069.24,  g
150,2016-07-26,20:34:15,ST,+00069.76,  g
151,2016-07-26,20:35:15,US,+00070.22,  g
152,2016-07-26,20:36:15,ST,+00070.71,  g
153,2016-07-26,20:37:15,ST,+00071.22,  g
Axis,4,0,7200,-20,80,0,240,3,2,0
Date,2016/7/26 20:37:15
Memo,Remarks:,,,,,,,,,,
