No.,Date,Time,Header,Data,Unit
1,2016-07-26,09:07:06,ST,+00000.81,  g
2,2016-07-26,09:08:06,ST,+00001.37,  g
3,2016-07-26,09:09:06,ST,+00002.18,  g
4,2016-07-26,09:10:06,ST,+00002.72,  g
5,2016-07-26,09:11:06,ST,+00003.29,  g
6,2016-07-26,09:12:06,US,+00003.83,  g
7,2016-07-26,09:13:06,US,+00004.36,  g
8,2016-07-26,09:14:06,ST,+00004.89,  g
9,2016-07-26,09:15:06,US,+00005.45,  g
10,2016-07-26,09:16:06,US,+00006.04,  g
11,2016-07-26,09:17:06,ST,+00006.59,  g
12,2016-07-26,09:18:06,ST,+00007.12,  g
13,2016-07-26,09:19:06,US,+00007.63,  g
14,2016-07-26,09:20:06,ST,+00008.17,  g
15,2016-07-26,09:21:06,ST,+00008.72,  g
16,2016-07-26,09:22:06,US,+00009.23,  g
17,2016-07-26,09:23:06,US,+00009.81,  g
18,2016-07-26,09:24:06,US,+00010.35,  g
19,2016-07-26,09:25:06,ST,+00010.91,  g
20,2016-07-26,09:26:06,ST,+00011.45,  g
21,2016-07-26,09:27:06,US,+00012.09,  g
22,2016-07-26,09:28:06,ST,+00012.62,  g
23,2016-07-26,09:29:06,ST,+00013.15,  g
24,2016-07-26,09:30:06,ST,+00013.69,  g
25,2016-07-26,09:31:06,ST,+00014.32,  g
26,2016-07-26,09:32:06,US,+00014.92,  g
27,2016-07-26,09:33:06,ST,+00015.49,  g
28,2016-07-26,09:34:06,ST,+00016.12,  g
29,2016-07-26,09:35:06,ST,+00016.84,  g
30,2016-07-26,09:36:06,ST,+00017.46,  g
31,2016-07-26,09:37:06,ST,+00018.09,  g
32,2016-07-26,09:38:06,ST,+00018.72,  g
33,2016-07-26,09:39:06,ST,+00019.44,  g
34,2016-07-26,09:40:06,ST,+00020.04,  g
35,2016-07-26,09:41:06,ST,+00020.65,  g
36,2016-07-26,09:42:06,ST,+00021.28,  g
37,2016-07-26,09:43:06,US,+00022.01,  g
38,2016-07-26,09:44:06,ST,+00022.63,  g
39,2016-07-26,09:45:06,US,+00023.27,  g
40,2016-07-26,09:46:06,US,+00023.90,  g
41,2016-07-26,09:47:06,ST,+00024.61,  g
42,2016-07-26,09:48:06,ST,+00025.22,  g
43,2016-07-26,09:49:06,US,+00025.84,  g
44,2016-07-26,09:50:06,US,+00026.49,  g
45,2016-07-26,09:51:06,US,+00027.22,  g
46,2016-07-26,09:52:06,ST,+00027.87,  g
47,2016-07-26,09:53:06,ST,+00028.50,  g
48,2016-07-26,09:54:06,ST,+00029.22,  g
49,2016-07-26,09:55:06,ST,+00029.85,  g
50,2016-07-26,09:56:06,ST,+00030.57,  g
51,2016-07-26,09:57:06,ST,+00031.20,  g
52,2016-07-26,09:58:06,ST,+00031.82,  g
53,2016-07-26,09:59:06,ST,+00032.54,  g
54,2016-07-26,10:00:06,ST,+00033.17,  g
55,2016-07-26,10:01:06,ST,+00033.80,  g
56,2016-07-26,10:02:06,ST,+00034.52,  g
57,2016-07-26,10:03:06,ST,+00035.15,  g
58,2016-07-26,10:04:06,ST,+00035.86,  g
59,2016-07-26,10:05:06,ST,+00036.49,  g
60,2016-07-26,10:06:06,US,+00037.21,  g
61,2016-07-26,10:07:06,ST,+00037.84,  g
62,2016-07-26,10:08:06,ST,+00038.47,  g
63,2016-07-26,10:09:06,ST,+00039.19,  g
64,2016-07-26,10:10:06,ST,+00039.81,  g
65,2016-07-26,10:11:06,ST,+00040.53,  g
